Z positions,B field 1,B field 2,B field 3,AVE,STD,STDM
-0.30,1.260E-04,1.430E-04,1.470E-04,1.387E-04,1.115E-05,6.438E-06
-0.25,1.910E-04,2.080E-04,2.060E-04,2.017E-04,9.292E-06,5.364E-06
-0.20,2.930E-04,3.280E-04,3.320E-04,3.177E-04,2.146E-05,1.239E-05
-0.15,5.190E-04,5.740E-04,5.810E-04,5.580E-04,3.396E-05,1.960E-05
-0.10,9.870E-04,1.112E-03,1.108E-03,1.069E-03,7.104E-05,4.102E-05
-0.05,1.912E-03,2.118E-03,2.115E-03,2.048E-03,1.181E-04,6.817E-05
0.00,2.924E-03,2.967E-03,2.965E-03,2.952E-03,2.427E-05,1.401E-05
0.05,2.190E-03,2.192E-03,2.205E-03,2.196E-03,8.145E-06,4.702E-06
0.10,1.154E-03,1.148E-03,1.145E-03,1.149E-03,4.583E-06,2.646E-06
0.15,5.680E-04,5.610E-04,5.590E-04,5.627E-04,4.726E-06,2.728E-06
0.20,3.070E-04,2.940E-04,2.910E-04,2.973E-04,8.505E-06,4.910E-06
0.25,2.010E-04,1.630E-04,1.640E-04,1.760E-04,2.166E-05,1.250E-05
0.30,1.360E-04,1.040E-04,1.040E-04,1.147E-04,1.848E-05,1.067E-05
