Z positions,B field 1,B field 2,B field 3,AVE,STD,STDM,,,,,,,,,,
-0.30,-1.330E-04,-1.740E-04,-1.450E-04,-1.507E-04,2.10792E-05,1.21701E-05,,,,,,,,,,
-0.25,-1.940E-04,-1.890E-04,-1.820E-04,-1.883E-04,6.02771E-06,3.4801E-06,,,,,,,,,,
-0.20,-3.320E-04,-4.100E-04,-3.750E-04,-3.723E-04,3.90683E-05,2.25561E-05,,,,,,,,,,
-0.15,-5.910E-04,-6.300E-04,-5.990E-04,-6.067E-04,2.05994E-05,1.1893E-05,,,,,,,,,,
-0.10,-1.470E-03,-1.520E-03,-1.340E-03,-1.443E-03,9.29157E-05,5.36449E-05,,,,,,,,,,
-0.05,-2.218E-03,-2.310E-03,-2.257E-03,-2.262E-03,4.61772E-05,2.66604E-05,,,,,,,,,,
0.00,-2.989E-03,-3.140E-03,-3.070E-03,-3.066E-03,7.55667E-05,4.36285E-05,,,,,,,,,,
0.05,-2.154E-03,-2.450E-03,-2.270E-03,-2.291E-03,0.000149149,8.6111E-05,,,,,,,,,,
0.10,-1.098E-03,-1.270E-03,-1.140E-03,-1.169E-03,8.96735E-05,5.1773E-05,,,,,,,,,,
0.15,-5.350E-04,-5.270E-04,-5.370E-04,-5.330E-04,5.2915E-06,3.05505E-06,,,,,,,,,,
0.20,-2.730E-04,-3.040E-04,-2.860E-04,-2.877E-04,1.55671E-05,8.98765E-06,,,,,,,,,,
0.25,-1.440E-04,-1.230E-04,-1.390E-04,-1.353E-04,1.09697E-05,6.33333E-06,,,,,,,,,,
0.30,-8.200E-05,-6.400E-05,-7.600E-05,-7.400E-05,9.16515E-06,5.2915E-06,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,A
